"","type","name","crs.type","crs.name","features.type","features.geometry","Hari_ke","Tanggal","Jumlah_Kasus_Kumulatif","Jumlah_Pasien_Sembuh","Jumlah_Pasien_Meninggal","Jumlah_pasien_dalam_perawatan","Jumlah_Kasus_Baru_per_Hari","Jumlah_Kasus_Sembuh_per_Hari","Jumlah_Kasus_Meninggal_per_Hari","Jumlah_Kasus_Dirawat_per_Hari","Persentase_Pasien_Sembuh","Persentase_Pasien_Meninggal","Persentase_Pasien_dalam_Perawatan","Jumlah_Spesimen_Diperiksa","Jumlah_Kasus_Diperiksa","Jumlah_Negatif","Spesimen_Diperiksa_Baru_Harian","Kasus_Diperiksa_Baru_Harian","PDP","ODP","Penambahan_Kasus_Terkonfirmasi_Terkini","Kasus_Sedang_Investigasi_Lapangan","Jumlah_Spesimen_Diperiksa_Terkini","Jumlah_Kasus_Diperiksa_Terkini","Spesimen_Diperiksa_Baru_Harian_Terkini","Hasil_Positif_Terkini","Hasil_Negatif_Terkini","PDP_Terkini","ODP_Terkini","Jumlah_Provinsi_Terdampak","Jumlah_KabKot_Terdampak","Pembaruan_Terakhir","FID"
"1","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,1,"2020/03/02 00:00:00+00",2,0,0,2,2,0,0,2,0,0,100,NA,339,335,NA,NA,NA,NA,1492,0,1381699,796950,20492,98778,698172,13882,38705,34,471,"2020/07/27 09:02:00+00",1
"2","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,52,"2020/04/22 00:00:00+00",7418,913,635,5870,283,71,19,193,12.3078997,8.56025883,79.13184147,55732,47361,39943,5362,1188,17754,193571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",2
"3","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,2,"2020/03/03 00:00:00+00",2,0,0,2,0,0,0,0,0,0,100,NA,341,337,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",3
"4","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,53,"2020/04/23 00:00:00+00",7775,960,647,6168,357,47,12,298,12.34726688,8.321543408,79.33118971,59935,48647,40872,4203,1286,18283,195948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",4
"5","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,54,"2020/04/24 00:00:00+00",8211,1002,689,6520,436,42,42,352,12.20314213,8.39118256,79.40567531,64054,50563,42352,4119,1916,18301,197951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",5
"6","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,3,"2020/03/04 00:00:00+00",2,0,0,2,0,0,0,0,0,0,100,NA,372,356,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",6
"7","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,55,"2020/04/25 00:00:00+00",8607,1042,720,6845,396,40,31,325,12.106425,8.365284071,79.52829093,67828,52541,43934,3774,1978,19084,206911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",7
"8","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,4,"2020/03/05 00:00:00+00",2,0,0,2,0,0,0,0,0,0,100,NA,388,371,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",8
"9","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,5,"2020/03/06 00:00:00+00",4,0,0,4,2,0,0,2,0,0,100,NA,450,422,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",9
"10","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,56,"2020/04/26 00:00:00+00",8882,1107,743,7032,275,65,23,187,12.46340914,8.365233056,79.1713578,72099,56974,48092,4271,4433,19648,209040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",10
"11","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,57,"2020/04/27 00:00:00+00",9096,1151,765,7180,214,44,22,148,12.65391381,8.410290237,78.93579595,75157,59409,50313,3058,2435,19987,210199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",11
"12","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,6,"2020/03/07 00:00:00+00",4,0,0,4,0,0,0,0,0,0,100,NA,454,422,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",12
"13","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,7,"2020/03/08 00:00:00+00",6,0,0,6,2,0,0,2,0,0,100,NA,483,445,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",13
"14","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,58,"2020/04/28 00:00:00+00",9511,1254,773,7484,415,103,8,304,13.18473347,8.127431395,78.68783514,79618,62544,53033,4461,3135,20428,213644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",14
"15","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,59,"2020/04/29 00:00:00+00",9771,1391,784,7596,260,137,11,112,14.2360045,8.023743731,77.74025177,86985,67784,58013,7367,524,21653,221750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",15
"16","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,8,"2020/03/09 00:00:00+00",19,0,0,19,13,0,0,13,0,0,100,NA,543,487,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",16
"17","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,9,"2020/03/10 00:00:00+00",27,2,0,25,8,2,0,6,7.407407407,0,92.59259259,NA,694,648,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",17
"18","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,60,"2020/04/30 00:00:00+00",10118,1522,792,7804,347,131,8,208,15.04249852,7.82763392,77.12986756,94599,72531,60233,7614,4567,21827,230411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",18
"19","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,61,"2020/05/01 00:00:00+00",10551,1591,800,8160,433,69,8,356,15.07913942,7.582219695,77.33864089,102305,76538,65987,7706,4187,22123,233120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",19
"20","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,10,"2020/03/11 00:00:00+00",34,2,1,31,7,0,1,6,5.882352941,2.941176471,91.17647059,NA,793,744,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",20
"21","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,11,"2020/03/12 00:00:00+00",34,2,1,31,0,0,0,0,5.882352941,2.941176471,91.17647059,NA,862,811,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",21
"22","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,62,"2020/05/02 00:00:00+00",10843,1665,831,8347,292,74,31,187,15.35552891,7.663930647,76.98054044,107943,79868,69025,5638,333,22545,235035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",22
"23","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,63,"2020/05/03 00:00:00+00",11192,1876,845,8471,349,211,14,124,16.76197284,7.55003574,75.68799142,112965,83012,71820,5022,3144,23130,236369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",23
"24","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,12,"2020/03/13 00:00:00+00",69,2,4,63,35,0,3,32,2.898550725,5.797101449,91.30434783,NA,1005,917,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",24
"25","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,13,"2020/03/14 00:00:00+00",96,8,5,83,27,6,1,20,8.333333333,5.208333333,86.45833333,NA,1205,1109,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",25
"26","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,64,"2020/05/04 00:00:00+00",11587,1954,864,8769,395,78,19,298,16.86372659,7.456632433,75.67964098,116861,86061,74474,3896,3049,24020,238178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",26
"27","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,65,"2020/05/05 00:00:00+00",12071,2197,872,9002,484,243,8,233,18.20064618,7.22392511,74.57542871,121547,88924,76853,4686,2863,26408,239226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",27
"28","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,14,"2020/03/15 00:00:00+00",117,8,5,104,21,0,0,21,6.837606838,4.273504274,88.88888889,NA,1293,1167,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",28
"29","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,15,"2020/03/16 00:00:00+00",134,8,5,121,17,0,0,17,5.970149254,3.731343284,90.29850746,NA,1230,1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",29
"30","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,66,"2020/05/06 00:00:00+00",12438,2317,895,9226,367,120,23,224,18.62839685,7.195690626,74.17591253,128383,92976,80538,6836,4052,26932,240726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",30
"31","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,67,"2020/05/07 00:00:00+00",12776,2381,930,9465,338,64,35,239,18.63650595,7.279273638,74.08422041,134151,96717,83941,5768,3741,28508,243455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",31
"32","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,16,"2020/03/17 00:00:00+00",172,9,5,158,38,1,0,37,5.23255814,2.906976744,91.86046512,NA,1372,1178,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",32
"33","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,17,"2020/03/18 00:00:00+00",227,11,19,197,55,2,14,39,4.845814978,8.370044053,86.78414097,NA,1592,1342,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",33
"34","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,68,"2020/05/08 00:00:00+00",13112,2494,943,9675,336,113,13,210,19.02074436,7.191885296,73.78737035,143781,103361,90249,9301,6644,29087,244480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",34
"35","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,69,"2020/05/09 00:00:00+00",13645,2607,959,10079,533,113,16,404,19.1058996,7.028215464,73.86588494,150887,108699,95054,7435,5338,29690,246847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",35
"36","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,18,"2020/03/19 00:00:00+00",309,15,25,269,82,4,6,72,4.854368932,8.090614887,87.05501618,NA,1898,1570,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",36
"37","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,19,"2020/03/20 00:00:00+00",369,17,32,320,60,2,7,51,4.60704607,8.672086721,86.72086721,NA,2028,1643,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",37
"38","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,70,"2020/05/10 00:00:00+00",14032,2698,973,10361,387,91,14,282,19.22748005,6.934150513,73.83836944,158273,113452,99420,7386,4753,30317,248690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",38
"39","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,71,"2020/05/11 00:00:00+00",14265,2881,991,10393,233,183,18,32,20.19628461,6.947073256,72.85664213,161351,116358,102093,3078,2906,31994,249105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",39
"40","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,20,"2020/03/21 00:00:00+00",450,20,38,392,81,3,6,72,4.444444444,8.444444444,87.11111111,NA,2365,1895,NA,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",40
"41","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,21,"2020/03/22 00:00:00+00",514,29,48,437,64,9,10,45,5.642023346,9.338521401,85.01945525,NA,2438,1904,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",41
"42","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,72,"2020/05/12 00:00:00+00",14749,3063,1007,10679,484,182,16,286,20.76750966,6.827581531,72.40490881,165128,119728,104979,3777,337,32147,251861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",42
"43","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,73,"2020/05/13 00:00:00+00",15438,3287,1028,11123,689,224,21,444,21.29161809,6.658893639,72.04948828,169195,123572,108134,4067,3844,33042,256299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",43
"44","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,22,"2020/03/23 00:00:00+00",579,30,49,500,65,1,1,63,5.18134715,8.462867012,86.35578584,NA,2756,2177,NA,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",44
"45","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,23,"2020/03/24 00:00:00+00",686,30,55,601,106,0,6,101,4.373177843,8.017492711,87.60932945,NA,3332,2625,NA,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",45
"46","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,74,"2020/05/14 00:00:00+00",16006,3518,1043,11445,568,231,15,322,21.97925778,6.516306385,71.50443584,173690,127813,111807,4495,4241,33672,258639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",46
"47","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,75,"2020/05/15 00:00:00+00",16496,3803,1076,11617,490,285,33,172,23.05407371,6.522793404,70.42313288,178602,132060,115564,4912,4247,34360,262919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",47
"48","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,24,"2020/03/25 00:00:00+00",790,31,58,701,105,1,3,100,3.924050633,7.341772152,88.73417722,NA,3822,3032,NA,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",48
"49","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,76,"2020/05/16 00:00:00+00",17025,3911,1089,12025,529,108,13,408,22.97209985,6.396475771,70.63142438,182818,135726,118701,4216,3665,35069,269449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",49
"50","FeatureCollection","Statistik_Perkembangan_COVID-19_Indonesia","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,25,"2020/03/26 00:00:00+00",893,35,78,780,103,4,20,79,3.9193729,8.734602464,87.34602464,NA,4336,3443,NA,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970/01/01 00:00:00+00",50
